City ID,City,Country Code,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
3899695,Ancud,CL,-41.8697,-73.8203,57.97,100,90,19.57
4513583,Hamilton,US,39.1834,-84.5333,52.07,35,1,5.75
1259385,Port Blair,IN,11.6667,92.75,82.4,83,20,3.44
464179,Zavetnoye,RU,47.1194,43.8903,24.94,94,34,7.65
2175403,Blackwater,AU,-23.5833,148.8833,88.43,44,6,6.04
3458266,Macaé,BR,-22.3708,-41.7869,71.6,100,90,3.44
1529195,Shihezi,CN,44.3,86.0333,28.99,98,100,2.53
6552856,Rastede,DE,53.25,8.2,35.67,98,77,4.99
3576994,Cockburn Town,TC,21.4612,-71.1419,75.51,80,87,30.04
4021858,Guerrero Negro,MX,27.9769,-114.0611,58.62,70,49,19.35
1821274,Macao,MO,22.2006,113.5461,68.0,83,40,13.8
1862505,Hirara,JP,24.8,125.2833,72.34,68,75,13.8
1490085,Tarko-Sale,RU,64.9225,77.785,-31.58,83,7,7.09
2120048,Ust-Nera,RU,64.5667,143.2,-4.59,83,100,7.76
3386213,Touros,BR,-5.1989,-35.4608,78.8,83,40,6.91
1789647,Xichang,CN,27.8964,102.2634,59.07,53,53,2.01
5339663,Coronado,US,32.6859,-117.1831,55.06,62,40,8.05
2171099,Codrington,AU,-38.2667,141.9667,66.72,58,10,11.56
1814093,Dali,CN,25.7,100.1833,56.08,51,2,4.61
2176639,Batemans Bay,AU,-35.7167,150.1833,68.58,73,89,1.01
3433715,Goya,AR,-29.14,-59.2626,73.33,48,0,6.89
3466165,Cidreira,BR,-30.1811,-50.2056,69.13,76,0,2.26
7671223,Kloulklubed,PW,7.0419,134.2556,80.6,89,90,11.5
1214488,Meulaboh,ID,4.1363,96.1285,77.92,73,1,5.06
5713587,Bend,US,44.0582,-121.3153,32.68,86,75,9.22
103630,Najrān,SA,17.4924,44.1277,62.6,25,0,4.61
1819729,Hong Kong,HK,22.2855,114.1577,65.61,79,67,1.01
6165406,Thompson,CA,55.7435,-97.8558,6.8,66,40,2.59
3454408,Pedregulho,BR,-20.2569,-47.4767,63.05,95,56,1.05
694712,Syedove,UA,47.0768,38.156,24.01,100,1,4.0
2450173,Taoudenni,ML,22.6783,-3.9836,64.58,29,0,12.39
779554,Honningsvåg,NO,70.9821,25.9704,20.79,88,100,11.21
212730,Kisangani,CD,0.5167,25.2,69.12,95,100,2.24
1862555,Hirado,JP,33.3597,129.5531,60.8,47,20,10.36
1648759,Bima,ID,-8.4667,118.7167,79.7,81,100,2.1
1177446,Gwadar,PK,25.1216,62.3254,69.85,73,0,1.14
2212775,Sabha,LY,27.0377,14.4283,65.52,35,92,11.36
4231997,Avera,US,33.194,-82.5271,53.17,43,1,4.43
6144312,Sept-Îles,CA,50.2001,-66.3821,24.06,74,20,6.91
898947,Senanga,ZM,-16.1167,23.2667,64.17,85,0,4.27
3691638,Tabalosos,PE,-6.35,-76.6833,80.6,69,40,5.75
6137462,Saint-Augustin,CA,51.226,-58.6502,20.73,95,65,9.71
2381972,Adrar,MR,20.5022,-10.0711,60.03,39,100,12.88
286245,Sur,OM,22.5667,59.5289,73.94,44,0,2.68
6067747,Matagami,CA,49.7502,-77.6328,39.2,52,90,6.91
3666409,Uribia,CO,11.7139,-72.266,77.86,70,16,16.84
2174444,Bowen,AU,-20.0167,148.2333,84.2,65,0,11.5
2077895,Alice Springs,AU,-23.7,133.8833,89.8,31,0,10.36
3372745,Rabo de Peixe,PT,37.8,-25.5833,59.0,94,75,12.66
3868308,Vicuña,CL,-30.0319,-70.7081,62.6,88,75,5.75
5859699,College,US,64.8569,-147.8028,27.41,59,75,3.44
3883457,Lebu,CL,-37.6167,-73.65,59.02,87,100,3.51
2112444,Kamaishi,JP,39.2667,141.8833,42.8,45,75,12.66
